Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit
Anthony Avila,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Avila,2.0,2.37,30.0,4.17,48.0,0.0,0.0,46.0,0.0
Julia Avila,3.0,3.1,41.0,2.9,54.0,0.49,50.0,60.0,0.0
Saad Awad,1.0,2.13,26.0,1.87,60.0,0.5,16.0,100.0,0.5
Javy Ayala,0.0,0.83,25.0,5.0,33.0,0.0,0.0,0.0,0.0
Jessin Ayari,4.0,3.53,37.0,3.59,58.0,0.0,0.0,50.0,0.3
Abu Azaitar,2.0,5.21,44.0,5.35,50.0,0.5,25.0,40.0,0.0
Ottman Azaitar,2.0,8.43,57.0,1.76,67.0,0.0,0.0,100.0,0.0
Luiz Azeredo,7.0,2.16,39.0,2.76,57.0,1.07,50.0,45.0,0.3
Luciano Azevedo,1.0,0.76,45.0,1.97,27.0,2.28,11.0,0.0,0.0
Hunter Azure,5.0,3.92,53.0,2.08,58.0,1.97,34.0,67.0,1.3
Niklas Backstrom,3.0,1.12,41.0,3.65,40.0,2.92,80.0,72.0,2.2
Seth Baczynski,11.0,3.08,31.0,3.14,51.0,0.89,16.0,48.0,0.8
Ryan Bader,20.0,2.82,43.0,1.39,71.0,3.37,44.0,80.0,0.4
Izabela Badurek,1.0,3.74,71.0,4.9,32.0,1.75,12.0,100.0,0.0
Miguel Baeza,5.0,4.64,55.0,3.89,50.0,0.8,40.0,100.0,1.2
Ali Bagautinov,7.0,2.85,42.0,3.09,52.0,2.51,36.0,65.0,0.3
Mehdi Baghdad,2.0,3.13,30.0,4.56,46.0,0.0,0.0,33.0,0.0
Melsik Baghdasaryan,1.0,6.8,64.0,3.8,53.0,0.0,0.0,75.0,0.0
Siyar Bahadurzada,8.0,2.91,40.0,3.23,49.0,1.32,61.0,62.0,0.3
Ignacio Bahamondes,2.0,7.91,41.0,6.4,51.0,0.0,0.0,100.0,0.0
Shamar Bailey,5.0,1.56,20.0,3.91,69.0,1.5,33.0,37.0,0.0
Jordan Bailey,0.0,1.74,40.0,0.29,0.0,4.35,100.0,0.0,4.3
Scott Baker,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Baker,3.0,1.78,52.0,2.83,45.0,0.44,50.0,37.0,0.9
Oluwale Bamgbose,5.0,2.45,48.0,2.7,55.0,0.94,33.0,37.0,0.0
Stephen Banaszak,0.0,4.2,47.0,1.15,66.0,0.0,0.0,100.0,1.9
Marcin Bandel,2.0,0.79,50.0,5.26,23.0,0.0,0.0,0.0,0.0
Humberto Bandenay,4.0,2.22,41.0,4.79,41.0,2.9,46.0,62.0,0.5
Tae Hyun Bang,5.0,2.72,38.0,2.07,66.0,0.49,33.0,57.0,0.5
Yohan Banks,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Banuelos,14.0,2.69,33.0,3.15,58.0,1.62,62.0,86.0,0.4
Renan Barao,19.0,3.78,36.0,3.9,57.0,1.49,41.0,91.0,0.5
Junior Barata,1.0,4.03,33.0,8.46,34.0,0.0,0.0,0.0,0.0
Maycee Barber,6.0,5.21,52.0,3.0,50.0,1.44,40.0,80.0,0.2
